1, Konrad Geßner, p1283, , Heinrich Bullinger [Antistes], p495
30, Francisco Dryander (de Enzinas), p8032, 1. Februar 1548, Heinrich Bullinger [Antistes], p495
31, Ambrosius Blarer (Blaurer), p8055, 1. Februar 1548, Heinrich Bullinger [Antistes], p495
32, Johannes Hospinian (Wirth), p8384, 2. Februar 1548, Heinrich Bullinger [Antistes], p495
33, Oswald Myconius (Geißhüsler), p8418, 3. Februar 1548, Heinrich Bullinger [Antistes], p495
34, Heinrich Bullinger [Antistes], p495, 10. Februar 1548, Rudolf Gwalther (Walter Gualtherus Walthart) d.Ä., p8011
35, Ludwig Lavater, p1884, 10. Februar 1548, Heinrich Bullinger [Antistes], p495
36, Joachim Vadian (von Watt), p8049, 4. Februar 1548, Heinrich Bullinger [Antistes], p495
37, Leonhard Serin (Soerinus), p8504, 6. Februar 1548, Heinrich Bullinger [Antistes], p495
38, Joachim Vadian (von Watt), p8049, 6. Februar 1548, Heinrich Bullinger [Antistes], p495
39, Ambrosius Blarer (Blaurer), p8055, 8. Februar 1548, Heinrich Bullinger [Antistes], p495
40, Matthias Erb, p1010, 10. Februar 1548, Heinrich Bullinger [Antistes], p495
41, Heinrich Bullinger [Antistes], p495, 11. Februar 1548, Oswald Myconius (Geißhüsler), p8418
42, Oswald Myconius (Geißhüsler), p8418, 14. Februar 1548, Heinrich Bullinger [Antistes], p495
43, Benedikt Schürmeister, p2938, 15. Februar 1548, Heinrich Bullinger [Antistes], p495
44, Heinrich Bullinger [Antistes], p495, 15. Februar 1548, Leonhard Serin (Soerinus), p8504
45, Heinrich Bullinger [Antistes], p495, 17. Februar 1548, Matthias Erb, p1010
46, Ambrosius Blarer (Blaurer), p8055, 18. Februar 1548, Heinrich Bullinger [Antistes], p495
47, Oswald Myconius (Geißhüsler), p8418, 18. Februar 1548, Heinrich Bullinger [Antistes], p495
48, Joachim Vadian (von Watt), p8049, 20. Februar 1548, Heinrich Bullinger [Antistes], p495
49, Sebastian Schertlin, p2916, 22. Februar 1548, Heinrich Bullinger [Antistes], p495
50, Gervasius Schuler (Scholasticus), p8440, 22. Februar 1548, Heinrich Bullinger [Antistes], p495
51, Béat Comte (Comes Donzarensis), p8031, 23. Februar 1548, , 
52, Heinrich Bullinger [Antistes], p495, 25. Februar 1548, Oswald Myconius (Geißhüsler), p8418
53, Joachim Vadian (von Watt), p8049, 25. Februar 1548, Heinrich Bullinger [Antistes], p495
54, Gerhard thom Camph, p4112, 26. Februar 1548, Heinrich Bullinger [Antistes], p495
55, Bartolomeo Paravicini, p2445, 27. Februar 1548, Heinrich Bullinger [Antistes], p495
56, Philipp Gallicius (Saluz), p8359, 29. Februar 1548, Heinrich Bullinger [Antistes], p495
57, Oswald Myconius (Geißhüsler), p8418, 29. Februar 1548, Heinrich Bullinger [Antistes], p495
58, Wigand Happel, p1456, , Heinrich Bullinger [Antistes], p495
59, Ambrosius Blarer (Blaurer), p8055, , Heinrich Bullinger [Antistes], p495
60, Johannes Calvin, p540, 1. März 1548, Heinrich Bullinger [Antistes], p495
61, Joachim Vadian (von Watt), p8049, 2. März 1548, Heinrich Bullinger [Antistes], p495
62, Ambrosius Blarer (Blaurer), p8055, 3. März 1548, Heinrich Bullinger [Antistes], p495
63, Heinrich Bullinger [Antistes], p495, 8. März 1548, Oswald Myconius (Geißhüsler), p8418
64, J.P. Naillosius, p2317, 8. März 1548, Heinrich Bullinger [Antistes], p495
65, Ambrosius Blarer (Blaurer), p8055, 10. März 1548, Heinrich Bullinger [Antistes], p495
66, Camillo Renato, p2807, 10. März 1548, Heinrich Bullinger [Antistes], p495
67, Jodocus Kilchmeyer, p1804, 11. März 1548, Heinrich Bullinger [Antistes], p495
68, Ambrosius Blarer (Blaurer), p8055, 12. März 1548, Heinrich Bullinger [Antistes], p495
69, Joachim Vadian (von Watt), p8049, 12. März 1548, Heinrich Bullinger [Antistes], p495
70, Johannes Gast, p1278, 13. März 1548, Heinrich Bullinger [Antistes], p495
71, Heinrich Bullinger [Antistes], p495, 14. März 1548, Oswald Myconius (Geißhüsler), p8418
72, Gilbert Cousin (Cognatus Nozerenus), p8073, 17. März 1548, Heinrich Bullinger [Antistes], p495
73, Leonhard Serin (Soerinus), p8504, , Heinrich Bullinger [Antistes], p495
74, Francisco Dryander (de Enzinas), p8032, 20. März 1548, Heinrich Bullinger [Antistes], p495
75, Oswald Myconius (Geißhüsler), p8418, 20. März 1548, Heinrich Bullinger [Antistes], p495
76, Celio Secondo Curione, p714, 21. März 1548, Heinrich Bullinger [Antistes], p495
77, Johannes Gast, p1278, 23. März 1548, Heinrich Bullinger [Antistes], p495
78, Joachim Vadian (von Watt), p8049, 26. März 1548, Heinrich Bullinger [Antistes], p495
79, Johann Leopold (Lüpold) Frey, p8082, 28. März 1548, Heinrich Bullinger [Antistes], p495
80, Ambrosius Blarer (Blaurer), p8055, 30. März 1548, Heinrich Bullinger [Antistes], p495
81, Theobald Thamer, p3138, 30. März 1548, Heinrich Bullinger [Antistes], p495
82, Joachim Vadian (von Watt), p8049, 30. März 1548, Heinrich Bullinger [Antistes], p495
83, Heinrich Bullinger [Antistes], p495, , Heinrich Ragor, p2680
84, Jodocus Kilchmeyer, p1804, 2. April 1548, Heinrich Bullinger [Antistes], p495
85, , , , Heinrich Bullinger [Antistes], p495
86, Oswald Myconius (Geißhüsler), p8418, 9. April 1548, Heinrich Bullinger [Antistes], p495
87, Georg Frölich (Laetus), p8354, 10. April 1548, Heinrich Bullinger [Antistes], p495
88, Georg von Württemberg-Mömpelgard (Montbéliard), p8098, 10. April 1548, Heinrich Bullinger [Antistes], p495
89, Leonhard Serin (Soerinus), p8504, 11. April 1548, Heinrich Bullinger [Antistes], p495
90, Ambrosius Blarer (Blaurer), p8055, 12. April 1548, Heinrich Bullinger [Antistes], p495
91, Ambrosius Blarer (Blaurer), p8055, 13. April 1548, Heinrich Bullinger [Antistes], p495
92, Ambrosius Blarer (Blaurer), p8055, 14. April 1548, Heinrich Bullinger [Antistes], p495
93, Ambrosius Blarer (Blaurer), p8055, 15. April 1548, Heinrich Bullinger [Antistes], p495
94, Heinrich Bullinger [Antistes], p495, 16. April 1548, Oswald Myconius (Geißhüsler), p8418
95, Joachim Vadian (von Watt), p8049, 16. April 1548, Heinrich Bullinger [Antistes], p495
96, Ambrosius Blarer (Blaurer), p8055, 18. April 1548, Heinrich Bullinger [Antistes], p495
97, Paul Wala Schuler, p2844, , Heinrich Bullinger [Antistes], p495
98, Heinrich Bullinger [Antistes], p495, , Paul Wala Schuler, p2844
99, Johannes Gast, p1278, 20. April 1548, Heinrich Bullinger [Antistes], p495
100, Johannes Blasius, p396, 23. April 1548, Heinrich Bullinger [Antistes], p495
101, Joachim Vadian (von Watt), p8049, 26. April 1548, Heinrich Bullinger [Antistes], p495
102, Joachim Vadian (von Watt), p8049, 26. April 1548, Heinrich Bullinger [Antistes], p495
103, Johann Valentin Furtmüller (Fortmüller), p8083, 26. April 1548, Michel s.n., p4132
104, Heinrich Bullinger [Antistes], p495, 28. April 1548, Leonhard Serin (Soerinus), p8504
105, Eberhard von Rümlang, p3700, 28. April 1548, Heinrich Bullinger [Antistes], p495
106, Ambrosius Blarer (Blaurer), p8055, 30. April 1548, Heinrich Bullinger [Antistes], p495
107, Heinrich Bullinger [Antistes], p495, , Heinrich Ragor, p2680
108, Joachim Vadian (von Watt), p8049, 2. Mai 1548, Heinrich Bullinger [Antistes], p495
109, Lorenz Meyer (Agricola), p8130, 4. Mai 1548, Heinrich Bullinger [Antistes], p495
110, Ambrosius Blarer (Blaurer), p8055, 4. Mai 1548, Heinrich Bullinger [Antistes], p495
111, Ambrosius Blarer (Blaurer), p8055, 4. Mai 1548, Heinrich Bullinger [Antistes], p495
112, Celio Secondo Curione, p714, 6. Mai 1548, Heinrich Bullinger [Antistes], p495
113, Johannes Gast, p1278, 8. Mai 1548, Heinrich Bullinger [Antistes], p495
114, Oswald Myconius (Geißhüsler), p8418, 8. Mai 1548, Heinrich Bullinger [Antistes], p495
115, Ambrosius Blarer (Blaurer), p8055, 9. Mai 1548, Heinrich Bullinger [Antistes], p495
116, Johannes Haller d.J., p8018, 10. Mai 1548, Heinrich Bullinger [Antistes], p495
117, Johannes (Hans) von Ulm, p20172, 10. Mai 1548, Heinrich Bullinger [Antistes], p495
118, Georg von Württemberg-Mömpelgard (Montbéliard), p8098, 12. Mai 1548, Heinrich Bullinger [Antistes], p495
119, Joachim Vadian (von Watt), p8049, 12. Mai 1548, Heinrich Bullinger [Antistes], p495
120, Heinrich Bullinger [Antistes], p495, 14. Mai 1548, Oswald Myconius (Geißhüsler), p8418
121, Hartmann von Hallwyl, p3559, 14. Mai 1548, Heinrich Bullinger [Antistes], p495
122, Ambrosius Blarer (Blaurer), p8055, 15. Mai 1548, Heinrich Bullinger [Antistes], p495
123, Matthias Hirsgarter (Hirschgartner), p8380, 15. Mai 1548, Heinrich Bullinger [Antistes], p495
124, Johann Leopold (Lüpold) Frey, p8082, 16. Mai 1548, Heinrich Bullinger [Antistes], p495
125, Ambrosius Blarer (Blaurer), p8055, 19. Mai 1548, Heinrich Bullinger [Antistes], p495
126, Béat Comte (Comes Donzarensis), p8031, 19. Mai 1548, Heinrich Bullinger [Antistes], p495
127, Georg Frölich (Laetus), p8354, 20. Mai 1548, Heinrich Bullinger [Antistes], p495
128, Joachim Vadian (von Watt), p8049, 20. Mai 1548, Heinrich Bullinger [Antistes], p495
129, Johannes Hospinian (Wirth), p8384, 21. Mai 1548, Heinrich Bullinger [Antistes], p495
130, Leonhard Serin (Soerinus), p8504, 22. Mai 1548, Heinrich Bullinger [Antistes], p495
131, Nikolaus Pfister (Artopoeus Baling), p8114, 24. Mai 1548, Heinrich Bullinger [Antistes], p495
132, Ambrosius Blarer (Blaurer), p8055, , Heinrich Bullinger [Antistes], p495
133, Ambrosius Blarer (Blaurer), p8055, 26. Mai 1548, Heinrich Bullinger [Antistes], p495
134, Ambrosius Blarer (Blaurer), p8055, 26. Mai 1548, Heinrich Bullinger [Antistes], p495
135, Heinrich Bullinger [Antistes], p495, 26. Mai 1548, Johannes Calvin, p540
136, Gervasius Schuler (Scholasticus), p8440, 26. Mai 1548, Heinrich Bullinger [Antistes], p495
137, Joachim Vadian (von Watt), p8049, 27. Mai 1548, Heinrich Bullinger [Antistes], p495
138, Ambrosius Blarer (Blaurer), p8055, 28. Mai 1548, Heinrich Bullinger [Antistes], p495
139, Joachim Vadian (von Watt), p8049, 28. Mai 1548, Heinrich Bullinger [Antistes], p495
140, Gervasius Schuler (Scholasticus), p8440, 31. Mai 1548, Heinrich Bullinger [Antistes], p495
141, Johannes Gast, p1278, Juni 1548, Heinrich Bullinger [Antistes], p495
142, Johannes Comander, p654, 1. Juni 1548, Heinrich Bullinger [Antistes], p495
143, Johannes Comander, p654, 1. Juni 1548, Heinrich Bullinger [Antistes], p495
144, Jakob Rüeger, p2757, 2. Juni 1548, Heinrich Bullinger [Antistes], p495
145, Johannes Blasius, p396, 3. Juni 1548, Heinrich Bullinger [Antistes], p495
146, Ambrosius Blarer (Blaurer), p8055, 4. Juni 1548, Heinrich Bullinger [Antistes], p495
147, Ambrosius Blarer (Blaurer), p8055, 4. Juni 1548, Heinrich Bullinger [Antistes], p495
148, Ambrosius Blarer (Blaurer), p8055, 4. Juni 1548, Heinrich Bullinger [Antistes], p495
149, Georg Frölich (Laetus), p8354, 4. Juni 1548, Heinrich Bullinger [Antistes], p495
150, Oswald Myconius (Geißhüsler), p8418, 7. Juni 1548, Heinrich Bullinger [Antistes], p495
151, Heinrich Bullinger [Antistes], p495, 7. Juni 1548, Agostino Mainardi, p2019
152, Ambrosius Blarer (Blaurer), p8055, 8. Juni 1548, Heinrich Bullinger [Antistes], p495
153, Ambrosius Blarer (Blaurer), p8055, 9. Juni 1548, Heinrich Bullinger [Antistes], p495
154, Joachim Vadian (von Watt), p8049, 10. Juni 1548, Heinrich Bullinger [Antistes], p495
155, Gervasius Schuler (Scholasticus), p8440, 11. Juni 1548, Heinrich Bullinger [Antistes], p495
156, Ambrosius Blarer (Blaurer), p8055, 13. Juni 1548, Heinrich Bullinger [Antistes], p495
157, Gervasius Schuler (Scholasticus), p8440, 13. Juni 1548, Heinrich Bullinger [Antistes], p495
158, Bartholomew Traheron (Trehernus), p8107, , Heinrich Bullinger [Antistes], p495
159, Celio Secondo Curione, p714, 17. Juni 1548, Heinrich Bullinger [Antistes], p495
160, John Hooper, p1560, , Heinrich Bullinger [Antistes], p495
161, Richard Hilles, p1548, 18. Juni 1548, Heinrich Bullinger [Antistes], p495
162, Heinrich Bullinger [Antistes], p495, 20. Juni 1548, , 
163, Heinrich Bullinger [Antistes], p495, 20. Juni 1548, Oswald Myconius (Geißhüsler), p8418
164, Georg von Württemberg-Mömpelgard (Montbéliard), p8098, 21. Juni 1548, Heinrich Bullinger [Antistes], p495
165, Oswald Myconius (Geißhüsler), p8418, 21. Juni 1548, Heinrich Bullinger [Antistes], p495
166, Johannes (Hans) von Ulm, p20172, 21. Juni 1548, Heinrich Bullinger [Antistes], p495
167, Johannes Haller d.J., p8018, 24. Juni 1548, Heinrich Bullinger [Antistes], p495
168, Johann Jakob Haller, p1431, 24. Juni 1548, Heinrich Bullinger [Antistes], p495
169, , , , , 
170, Heinrich Bullinger [Antistes], p495, 25. Juni 1548, Oswald Myconius (Geißhüsler), p8418
171, Johannes Blasius, p396, 26. Juni 1548, Heinrich Bullinger [Antistes], p495
172, Johannes Calvin, p540, 26. Juni 1548, Heinrich Bullinger [Antistes], p495
173, Ambrosius Blarer (Blaurer), p8055, 27. Juni 1548, Heinrich Bullinger [Antistes], p495
174, Heinrich Bullinger [Antistes], p495, 27. Juni 1548, Ägidius (Gilg) Tschudi, p8108
175, Georg Frölich (Laetus), p8354, 28. Juni 1548, Heinrich Bullinger [Antistes], p495
176, Gervasius Schuler (Scholasticus), p8440, 28. Juni 1548, Heinrich Bullinger [Antistes], p495
177, Johannes Gast, p1278, 30. Juni 1548, Heinrich Bullinger [Antistes], p495
178, Joachim Vadian (von Watt), p8049, , Heinrich Bullinger [Antistes], p495
179, Joachim Vadian (von Watt), p8049, 2. Juli 1548, Heinrich Bullinger [Antistes], p495
180, Ägidius (Gilg) Tschudi, p8108, 3. Juli 1548, Heinrich Bullinger [Antistes], p495
181, Joachim Vadian (von Watt), p8049, 3. Juli 1548, Heinrich Bullinger [Antistes], p495
182, Ambrosius Blarer (Blaurer), p8055, 4. Juli 1548, Heinrich Bullinger [Antistes], p495
183, Ambrosius Blarer (Blaurer), p8055, 7. Juli 1548, Heinrich Bullinger [Antistes], p495
184, Heinrich Bullinger [Antistes], p495, 9. Juli 1548, Hans Franz Nägeli, p2305
185, Johannes Haller d.J., p8018, 9. Juli 1548, Heinrich Bullinger [Antistes], p495
186, Eberhard von Rümlang, p3700, 9. Juli 1548, Heinrich Bullinger [Antistes], p495
187, Joachim Aberlin, p8, 10. Juli 1548, Heinrich Bullinger [Antistes], p495
188, Joachim Aberlin, p8, 10. Juli 1548, Heinrich Bullinger [Antistes], p495
189, Johannes Blasius, p396, 10. Juli 1548, Heinrich Bullinger [Antistes], p495
190, Heinrich Bullinger [Antistes], p495, 12. Juli 1548, Wolfgang Musculus (Müsli Meuslin), p8417
191, Johannes Haller d.J., p8018, 13. Juli 1548, Heinrich Bullinger [Antistes], p495
192, Wolfgang Musculus (Müsli Meuslin), p8417, 13. Juli 1548, Heinrich Bullinger [Antistes], p495
193, Heinrich Pantaleon, p2463, 13. Juli 1548, Heinrich Bullinger [Antistes], p495
194, Eberhard von Rümlang, p3700, 13. Juli 1548, Heinrich Bullinger [Antistes], p495
195, , , , Heinrich Bullinger [Antistes], p495
196, Heinrich Bullinger [Antistes], p495, 14. Juli 1548, Johannes Calvin, p540
197, Jakob Fehr, p1120, 14. Juli 1548, Heinrich Bullinger [Antistes], p495
198, Georg von Württemberg-Mömpelgard (Montbéliard), p8098, 14. Juli 1548, Heinrich Bullinger [Antistes], p495
199, Ambrosius Blarer (Blaurer), p8055, 15. Juli 1548, Heinrich Bullinger [Antistes], p495
200, Ambrosius Blarer (Blaurer), p8055, 15. Juli 1548, Heinrich Bullinger [Antistes], p495
201, Johannes Haller d.J., p8018, 16. Juli 1548, Heinrich Bullinger [Antistes], p495
202, Oswald Myconius (Geißhüsler), p8418, 16. Juli 1548, Heinrich Bullinger [Antistes], p495
203, Christian Hochholzer, p1553, 18. Juli 1548, Heinrich Bullinger [Antistes], p495
204, Ambrosius Blarer (Blaurer), p8055, 19. Juli 1548, Heinrich Bullinger [Antistes], p495
205, Wolfgang Musculus (Müsli Meuslin), p8417, 19. Juli 1548, Heinrich Bullinger [Antistes], p495
206, Paul Rasdorfer (Rossdorfer Rodocomus), p8426, , Heinrich Bullinger [Antistes], p495
207, Joachim Vadian (von Watt), p8049, 20. Juli 1548, Heinrich Bullinger [Antistes], p495
208, Pierre Viret, p3429, 23. Juli 1548, Heinrich Bullinger [Antistes], p495
209, Ambrosius Blarer (Blaurer), p8055, 24. Juli 1548, Heinrich Bullinger [Antistes], p495
210, Lorenz Meyer (Agricola), p8130, 25. Juli 1548, Heinrich Bullinger [Antistes], p495
211, Johannes Haller d.J., p8018, , Heinrich Bullinger [Antistes], p495
212, Ambrosius Blarer (Blaurer), p8055, 27. Juli 1548, Heinrich Bullinger [Antistes], p495
213, Blasius Hollerius, p1557, 27. Juli 1548, Heinrich Bullinger [Antistes], p495
214, Bartholomew Traheron (Trehernus), p8107, 1. August 1548, Heinrich Bullinger [Antistes], p495
215, Ambrosius Blarer (Blaurer), p8055, 3. August 1548, Heinrich Bullinger [Antistes], p495
216, Heinrich Bullinger [Antistes], p495, 3. August 1548, Oswald Myconius (Geißhüsler), p8418
217, Johannes Gast, p1278, 3. August 1548, Heinrich Bullinger [Antistes], p495
218, Hans (Jean) Wunderlich (de Merveilleux), p8519, 4. August 1548, Heinrich Bullinger [Antistes], p495
219, Hans (Jean) Wunderlich (de Merveilleux), p8519, 7. August 1548, Heinrich Bullinger [Antistes], p495
220, Johannes Haller d.J., p8018, , Heinrich Bullinger [Antistes], p495
221, Joachim Vadian (von Watt), p8049, 8. August 1548, Heinrich Bullinger [Antistes], p495
222, Ambrosius Blarer (Blaurer), p8055, 9. August 1548, Heinrich Bullinger [Antistes], p495
223, Ambrosius Blarer (Blaurer), p8055, 10. August 1548, Heinrich Bullinger [Antistes], p495
224, Ambrosius Blarer (Blaurer), p8055, 10. August 1548, Heinrich Bullinger [Antistes], p495
225, Wolfgang Musculus (Müsli Meuslin), p8417, 11. August 1548, Heinrich Bullinger [Antistes], p495
226, Johannes Gast, p1278, 13. August 1548, Heinrich Bullinger [Antistes], p495
227, Oswald Myconius (Geißhüsler), p8418, 13. August 1548, Heinrich Bullinger [Antistes], p495
228, Nikolaus Pfister (Artopoeus Baling), p8114, 14. August 1548, Heinrich Bullinger [Antistes], p495
229, Wolfgang Musculus (Müsli Meuslin), p8417, 16. August 1548, Heinrich Bullinger [Antistes], p495
230, Joachim Vadian (von Watt), p8049, 16. August 1548, Heinrich Bullinger [Antistes], p495
231, Johannes Haller d.J., p8018, 17. August 1548, Heinrich Bullinger [Antistes], p495
232, Konrad Zwick, p4082, 17. August 1548, Heinrich Bullinger [Antistes], p495
233, Wolfgang Musculus (Müsli Meuslin), p8417, 18. August 1548, Heinrich Bullinger [Antistes], p495
234, Johannes (Hans) von Ulm, p20172, 18. August 1548, Heinrich Bullinger [Antistes], p495
235, Ambrosius Blarer (Blaurer), p8055, 19. August 1548, Heinrich Bullinger [Antistes], p495
236, Joachim Vadian (von Watt), p8049, 20. August 1548, Heinrich Bullinger [Antistes], p495
237, Joachim Vadian (von Watt), p8049, 20. August 1548, Heinrich Bullinger [Antistes], p495
238, Ambrosius Blarer (Blaurer), p8055, 23. August 1548, Heinrich Bullinger [Antistes], p495
239, Wolfgang Musculus (Müsli Meuslin), p8417, 23. August 1548, Heinrich Bullinger [Antistes], p495
240, Heinrich Bullinger [Antistes], p495, 24. August 1548, Oswald Myconius (Geißhüsler), p8418
241, John Burcher, p505, 24. August 1548, Heinrich Bullinger [Antistes], p495
242, Wolfgang Musculus (Müsli Meuslin), p8417, 25. August 1548, Heinrich Bullinger [Antistes], p495
243, Thomas Naogeorg (Kirchmayer Hecalius), p8124, 26. August 1548, Heinrich Bullinger [Antistes], p495
244, Ambrosius Blarer (Blaurer), p8055, 27. August 1548, Heinrich Bullinger [Antistes], p495
245, Johann Leopold (Lüpold) Frey, p8082, 28. August 1548, Heinrich Bullinger [Antistes], p495
246, Johannes Gast, p1278, 28. August 1548, Heinrich Bullinger [Antistes], p495
247, Johannes Gast, p1278, August 1548, Heinrich Bullinger [Antistes], p495
248, Johannes Haller d.J., p8018, 30. August 1548, Heinrich Bullinger [Antistes], p495
249, Joachim Vadian (von Watt), p8049, 30. August 1548, Heinrich Bullinger [Antistes], p495
250, Oswald Myconius (Geißhüsler), p8418, 31. August 1548, Heinrich Bullinger [Antistes], p495
251, Eberhard von Rümlang, p3700, 31. August 1548, Heinrich Bullinger [Antistes], p495
252, Johannes Haller d.J., p8018, 1. September 1548, Heinrich Bullinger [Antistes], p495
253, Wolfgang Musculus (Müsli Meuslin), p8417, 1. September 1548, Heinrich Bullinger [Antistes], p495
254, Oswald Myconius (Geißhüsler), p8418, 4. September 1548, Heinrich Bullinger [Antistes], p495
255, Ambrosius Blarer (Blaurer), p8055, 6. September 1548, Heinrich Bullinger [Antistes], p495
256, Georg von Württemberg-Mömpelgard (Montbéliard), p8098, 6. September 1548, Heinrich Bullinger [Antistes], p495
257, Heinrich Bullinger [Antistes], p495, 7. September 1548, Oswald Myconius (Geißhüsler), p8418
258, Wolfgang Musculus (Müsli Meuslin), p8417, 8. September 1548, Heinrich Bullinger [Antistes], p495
259, Joachim Vadian (von Watt), p8049, 9. September 1548, Heinrich Bullinger [Antistes], p495
260, Ambrosius Blarer (Blaurer), p8055, 10. September 1548, Heinrich Bullinger [Antistes], p495
261, Ambrosius Blarer (Blaurer), p8055, , Heinrich Bullinger [Antistes], p495
262, Johannes Haller d.J., p8018, 10. September 1548, Heinrich Bullinger [Antistes], p495
263, Joachim Vadian (von Watt), p8049, 10. September 1548, Heinrich Bullinger [Antistes], p495
264, Johannes Haller d.J., p8018, 11. September 1548, Heinrich Bullinger [Antistes], p495
265, Ambrosius Blarer (Blaurer), p8055, 12. September 1548, Heinrich Bullinger [Antistes], p495
266, Oswald Myconius (Geißhüsler), p8418, 13. September 1548, Heinrich Bullinger [Antistes], p495
267, Ambrosius Blarer (Blaurer), p8055, 16. September 1548, Heinrich Bullinger [Antistes], p495
268, , , 16. September 1548, , 
269, , , 16. September 1548, Heinrich Bullinger [Antistes], p495
270, Johannes Gast, p1278, 18. September 1548, Heinrich Bullinger [Antistes], p495
271, Johannes Haller d.J., p8018, , Heinrich Bullinger [Antistes], p495
272, Joachim Vadian (von Watt), p8049, 19. September 1548, Heinrich Bullinger [Antistes], p495
273, Heinrich Bullinger [Antistes], p495, 20. September 1548, Oswald Myconius (Geißhüsler), p8418
274, Ludwig Lavater, p1884, 21. September 1548, Heinrich Bullinger [Antistes], p495
275, Camillo Renato, p2807, 21. September 1548, Heinrich Bullinger [Antistes], p495
276, Agostino Mainardi, p2019, 22. September 1548, Heinrich Bullinger [Antistes], p495
277, Wolfgang Musculus (Müsli Meuslin), p8417, 22. September 1548, Heinrich Bullinger [Antistes], p495
278, Wolfgang Musculus (Müsli Meuslin), p8417, , Heinrich Bullinger [Antistes], p495
279, Ambrosius Blarer (Blaurer), p8055, 23. September 1548, Heinrich Bullinger [Antistes], p495
280, Martin Bucer, p467, 23. September 1533, Heinrich Bullinger [Antistes], p495
281, Eberhard von Rümlang, p3700, 23. September 1548, Heinrich Bullinger [Antistes], p495
282, Johannes Gast, p1278, 24. September 1548, Heinrich Bullinger [Antistes], p495
283, Joachim Vadian (von Watt), p8049, 25. September 1548, Heinrich Bullinger [Antistes], p495
284, Oswald Myconius (Geißhüsler), p8418, 27. September 1548, Heinrich Bullinger [Antistes], p495
285, Johannes Haller d.J., p8018, 28. September 1548, Heinrich Bullinger [Antistes], p495
286, Bartholomew Traheron (Trehernus), p8107, 28. September 1548, Heinrich Bullinger [Antistes], p495
287, Joachim Vadian (von Watt), p8049, 28. September 1548, Heinrich Bullinger [Antistes], p495
288, Marcel Dietrich (Marcellus Theodoricus) Schankwitz, p8498, , Heinrich Bullinger [Antistes], p495
289, John Hooper, p1560, Oktober 1548, Heinrich Bullinger [Antistes], p495
290, Johannes Blasius, p396, 2. Oktober 1548, Heinrich Bullinger [Antistes], p495
291, Baldassare Altieri, p152, 3. Oktober 1548, Heinrich Bullinger [Antistes], p495
292, Johannes Gast, p1278, 3. Oktober 1548, Heinrich Bullinger [Antistes], p495
293, Johannes Haller d.J., p8018, 6. Oktober 1548, Heinrich Bullinger [Antistes], p495
